Date : 2026-04-29 21:53:48
Directory : c:\Users\bibindon\source\repos\bibindon\RedfortressRender
Total : 135 files,  15574 codes, 1697 comments, 4323 blanks, all 21594 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshOld.cpp                               | C++      |        263 |        166 |         81 |        510 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshOld.h                                 | C++      |         58 |          9 |         21 |         88 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshPOM.cpp                               | C++      |        150 |          3 |         46 |        199 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshPOM.h                                 | C++      |         32 |          7 |         24 |         63 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshPointLight.cpp                        | C++      |        156 |          7 |         54 |        217 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshPointLight.h                          | C++      |         37 |          6 |         28 |         71 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshSSS.cpp                               | C++      |        326 |         41 |         99 |        466 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshSSS.h                                 | C++      |         58 |         10 |         24 |         92 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshSSSLike.cpp                           | C++      |        138 |          2 |         49 |        189 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshSSSLike.h                             | C++      |         30 |          4 |         22 |         56 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshSmooth.cpp                            | C++      |        138 |          2 |         49 |        189 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\MeshSmooth.h                              | C++      |         30 |          5 |         23 |         58 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\PostEffectBloom.cpp                       | C++      |        188 |         15 |         48 |        251 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\PostEffectBloom.h                         | C++      |         42 |          7 |         21 |         70 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\PostEffectEnd.cpp                         | C++      |         75 |          4 |         22 |        101 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\PostEffectEnd.h                           | C++      |         27 |          0 |         16 |         43 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\PostEffectFog.cpp                         | C++      |        160 |          8 |         43 |        211 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\PostEffectFog.h                           | C++      |         41 |          0 |         24 |         65 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\PostEffectGauss.cpp                       | C++      |        129 |          1 |         33 |        163 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\PostEffectGauss.h                         | C++      |         32 |          2 |         20 |         54 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\PostEffectSSAO.cpp                        | C++      |        192 |         14 |         53 |        259 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\PostEffectSSAO.h                          | C++      |         36 |          1 |         19 |         56 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\PostEffectSaturate.cpp                    | C++      |        116 |          1 |         34 |        151 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\PostEffectSaturate.h                      | C++      |         34 |          0 |         21 |         55 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\PostEffectStarBurst.cpp                   | C++      |        223 |         10 |         52 |        285 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\PostEffectStarBurst.h                     | C++      |         45 |          7 |         22 |         74 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\PostEffectZShadow.cpp                     | C++      |        379 |         10 |        127 |        516 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\PostEffectZShadow.h                       | C++      |         46 |          2 |         30 |         78 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\PtrManager.cpp                            | C++      |         94 |          0 |         25 |        119 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\PtrManager.h                              | C++      |         57 |          7 |         33 |         97 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\Render.cpp                                | C++      |        796 |         45 |        189 |      1,030 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\Render.h                                  | C++      |        201 |         32 |         76 |        309 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\Render.vcxproj                            | XML      |        423 |          0 |          0 |        423 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\SkinAnimMesh.cpp                          | C++      |        249 |          1 |         67 |        317 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\SkinAnimMesh.h                            | C++      |         47 |          0 |         23 |         70 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\SkinAnimMeshAlloc.cpp                     | C++      |        163 |          5 |         52 |        220 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\SkinAnimMeshAlloc.h                       | C++      |         48 |          0 |         18 |         66 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\Sprite.cpp                                | C++      |         78 |         11 |         29 |        118 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\Sprite.h                                  | C++      |         30 |          7 |         16 |         53 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\Util.cpp                                  | C++      |         48 |          0 |         16 |         64 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\Util.h                                    | C++      |         48 |          5 |         13 |         66 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\WindowManager.cpp                         | C++      |        262 |          8 |         77 |        347 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\WindowManager.h                           | C++      |         36 |          0 |         21 |         57 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\shader\AnimMeshShader.fx                  | HLSL     |         53 |         21 |         20 |         94 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\shader\Common.fx                          | HLSL     |          5 |          0 |          2 |          7 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\shader\GBuffer.fx                         | HLSL     |         58 |          1 |         20 |         79 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\shader\MeshInstancing.fx                  | HLSL     |         42 |          0 |          9 |         51 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\shader\MeshMix.fx                         | HLSL     |        374 |         95 |        125 |        594 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\shader\MeshNoLighting.fx                  | HLSL     |         33 |          0 |          5 |         38 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\shader\MeshNormalMapping.fx               | HLSL     |         76 |          5 |         18 |         99 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\shader\MeshOld.fx                         | HLSL     |        105 |         59 |         42 |        206 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\shader\MeshPOM.fx                         | HLSL     |        156 |         37 |         52 |        245 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\shader\MeshPointLight.fx                  | HLSL     |         77 |          7 |         19 |        103 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\shader\MeshSSS.fx                         | HLSL     |        175 |         12 |         44 |        231 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\shader\MeshSSSLike.fx                     | HLSL     |         86 |          8 |         19 |        113 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\shader\MeshSmooth.fx                      | HLSL     |         61 |          9 |         15 |         85 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\shader\PostEffectBloom.fx                 | HLSL     |         91 |         14 |         23 |        128 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\shader\PostEffectEnd.fx                   | HLSL     |         39 |          2 |          5 |         46 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\shader\PostEffectFog.fx                   | HLSL     |         77 |         12 |         19 |        108 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\shader\PostEffectGaussian.fx              | HLSL     |         71 |         12 |         20 |        103 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\shader\PostEffectSSAO.fx                  | HLSL     |        357 |         18 |         65 |        440 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\shader\PostEffectSaturate.fx              | HLSL     |         37 |          5 |         12 |         54 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\shader\PostEffectStarBurst.fx             | HLSL     |        112 |         13 |         26 |        151 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\shader\PostEffectZShadow.fx               | HLSL     |        206 |         47 |         69 |        322 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\shader\SkinAnimMeshShader.fx              | HLSL     |         84 |          5 |         26 |        115 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Render\shader\simple.fx                          | HLSL     |         40 |          0 |          9 |         49 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\AppState.cpp                              | C++      |        530 |          0 |         85 |        615 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\AppState.h                                | C++      |        106 |          0 |         11 |        117 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\InputHandlers.cpp                         | C++      |        319 |          0 |         45 |        364 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\InputHandlers.h                           | C++      |          4 |          0 |          3 |          7 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\Sample.vcxproj                            | XML      |        305 |          0 |          1 |        306 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\SettingsDialog.cpp                        | C++      |        453 |          0 |         63 |        516 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\SettingsDialog.h                          | C++      |          6 |          0 |          3 |          9 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\main.cpp                                  | C++      |        192 |          0 |         27 |        219 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\AnimMeshShader.fx              | HLSL     |         53 |         21 |         20 |         94 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\AnimationMeshShader.fx         | HLSL     |         53 |         21 |         20 |         94 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\Common.fx                      | HLSL     |          5 |          0 |          2 |          7 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\FilterSaturate.fx              | HLSL     |         38 |          5 |         14 |         57 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\GBuffer.fx                     | HLSL     |         58 |          1 |         20 |         79 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\MeshInstancing.fx              | HLSL     |         42 |          0 |          9 |         51 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\MeshMix.fx                     | HLSL     |        374 |         95 |        125 |        594 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\MeshNoLighting.fx              | HLSL     |         33 |          0 |          5 |         38 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\MeshNormalMapping.fx           | HLSL     |         76 |          5 |         18 |         99 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\MeshOld.fx                     | HLSL     |        105 |         59 |         42 |        206 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\MeshPOM.fx                     | HLSL     |        156 |         37 |         52 |        245 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\MeshPointLight.fx              | HLSL     |         77 |          7 |         19 |        103 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\MeshSSS.fx                     | HLSL     |        175 |         12 |         44 |        231 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\MeshSSSLike.fx                 | HLSL     |         86 |          8 |         19 |        113 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\MeshShader.fx                  | HLSL     |        105 |         59 |         42 |        206 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\MeshSmooth.fx                  | HLSL     |         61 |          9 |         15 |         85 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\PostEffectBloom.fx             | HLSL     |         91 |         14 |         23 |        128 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\PostEffectDepthBufferShadow.fx | HLSL     |        195 |         47 |         68 |        310 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\PostEffectEnd.fx               | HLSL     |         39 |          2 |          5 |         46 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\PostEffectFog.fx               | HLSL     |         77 |         12 |         19 |        108 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\PostEffectGaussian.fx          | HLSL     |         71 |         12 |         20 |        103 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\PostEffectSSAO.fx              | HLSL     |        357 |         18 |         65 |        440 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\PostEffectSaturate.fx          | HLSL     |         37 |          5 |         12 |         54 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\PostEffectStarBurst.fx         | HLSL     |        112 |         13 |         26 |        151 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\PostEffectZShadow.fx           | HLSL     |        206 |         47 |         69 |        322 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\SkinAnimMeshShader.fx          | HLSL     |         84 |          5 |         26 |        115 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\res\shader\simple.fx                      | HLSL     |         40 |          0 |          9 |         49 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\resource.h                                | C++      |         49 |          0 |          3 |         52 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\Sample\simple.fx                                 | HLSL     |         38 |          0 |          9 |         47 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\UnitTest1\UnitTest1.cpp                          | C++      |         13 |          0 |          4 |         17 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\UnitTest1\UnitTest1.vcxproj                      | XML      |        173 |          0 |          0 |        173 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\UnitTest1\pch.cpp                                | C++      |          1 |          2 |          3 |          6 |
| c:\Users\bibindon\source\repos\bibindon\RedfortressRender\UnitTest1\pch.h                                  | C++      |          3 |          6 |          4 |         13 |
| Total                                                                                                      |          |     15,574 |      1,697 |      4,323 |     21,594 |
+------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
